На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
10.44,1198.560,79104.96,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,180мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,6
5.13,954.375,76349.98,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,180 мм.,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,4.78
1.16,686.830,54946.43,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,180 мм.,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,3.44
2.94,998.800,227726.40,228000,228000,228000,ЧЕЛЯБИНСК,Круг Ст20хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5
9.77,998.800,239712.00,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5
2.73,1212.543,80027.85,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,180мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,06.07
3.83,597.999,86709.85,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3
5.41,904.913,153835.18,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.53
4.78,1202.555,168357.73,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,180мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,06.02
5.40,840.000,94920.00,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,180мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.2
11.16,1198.560,83899.20,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,180мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,6
0.02,12.460,439.84,35300,35300,35300,НОВОСИБИРСК,Круг ст45,170мм.,скидка,"ГОСТ 2590, 1050,3ГП_",Круг_,0.07
0.03,0.000,0.00,35300,35300,35300,НОВОСИБИРСК,Круг ст45,170мм.,скидка,"ГОСТ 2590, 1050,2ГП_",Круг_,0
7.49,1076.207,71029.68,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,170мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.04
6.57,1069.080,70559.28,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,170мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,6
0.71,719.480,122311.53,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,170мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,04.04
5.31,628.654,91154.86,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,170мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3.53
2.79,585.913,99605.18,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,170мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3.29
1.70,930.900,130326.00,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,170мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,5.35
7.54,968.959,242239.65,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.98
3.17,539.082,44204.72,82000,82000,82000,НОВОСИБИРСК,Круг Ст20Х,180мм.,3гр,"ГОСТ 2590-2006, 4543-71",Круг_,2.7
8.55,1198.560,79104.96,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,180мм.,,"ГОСТ 2590-06,1050-13 3ГП_",Круг_,6
10.29,1198.560,79104.96,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,180мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
19.16,1198.560,109068.96,91000,91000,91000,НОВОСИБИРСК,Круг Ст18ХГТ,180 мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,6
2.74,936.000,224640.00,240000,240000,240000,НОВОСИБИРСК,Круг Ст12хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.8
1.52,936.379,213494.46,228000,228000,228000,ЧЕЛЯБИНСК,Круг Ст12хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.8
10.65,1201.878,100957.75,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,190мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.4
15.95,1201.878,92544.61,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,190мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,5.4
9.34,1201.878,92544.61,77000,77000,77000,НОВОСИБИРСК,Круг Ст30ХГСА,190 мм,,ГОСТ 2590-06,Круг_,5.4
20.60,1255.295,96657.70,77000,77000,77000,НОВОСИБИРСК,Круг Ст30ХГСА,190 мм,,"ГОСТ 2590-06,4543-16,2ГП_",Круг_,5.64
1.44,1179.621,90830.82,77000,77000,77000,НОВОСИБИРСК,Круг Ст30ХГСА,190 мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,5.3
0.04,42.288,1628.10,38500,38500,38500,НОВОСИБИРСК,Круг Ст3,190мм,скидка,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,0.19
4.86,1201.878,92544.61,77000,77000,77000,НОВОСИБИРСК,Круг Ст3,190мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,5.4
1.58,1157.364,89117.03,77000,77000,77000,НОВОСИБИРСК,Круг Ст3,190мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,5.2
06.01,754.139,105579.52,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,190 мм.,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,3.39
2.62,957.051,229692.24,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,190 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.3
8.68,687.741,99722.49,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,190мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,03.09
2.58,618.745,80436.80,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,190мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,2.78
2.41,667.710,100156.50,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,190мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,3
5.25,1161.815,151036.00,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,190мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.22
0.13,945.922,141888.37,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,190мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.25
32.95,1224.135,102827.34,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,190мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.5
1.00,8.385,1215.82,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,18мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.3
11.63,12.000,840.00,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,18 мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
4.99,12.000,792.00,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,18 мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
0.88,9.600,931.20,97000,97000,97000,НОВОСИБИРСК,Круг Ст30ХГСА,18мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.8
13.65,12.000,792.00,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,18мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,6
3.66,12.000,792.00,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,18мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
0.19,12.000,840.00,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,18 мм.,,"ГОСТ 2590-06, 19281-14, 2ГП_",Круг_,6
9.55,12.000,840.00,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,18 мм.,,"ГОСТ 2590-06, 19281-14, 2ГП_",Круг_,6
17.99,1212.543,80027.85,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,180мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.07
1.86,957.051,229692.24,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,190 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.3
2.89,938.744,234686.00,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,190 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.33
0.15,145.256,36314.00,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,190 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,0.67
7.66,1201.878,100957.75,84000,84000,84000,НОВОСИБИРСК,Круг Ст20Х,190мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.4
1.10,1112.850,85689.45,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,190мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,5
10.25,1246.392,95972.18,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,190мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,5.6
9.20,1157.364,105320.12,91000,91000,91000,НОВОСИБИРСК,Круг Ст18ХГТ,190 мм.,,ГОСТ 2590-06,Круг_,5.2
2.69,1219.684,110991.21,91000,91000,91000,НОВОСИБИРСК,Круг Ст18ХГТ,190 мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.48
2.32,932.197,223727.28,240000,240000,240000,НОВОСИБИРСК,Круг Ст12хн3а,190 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.3
0.02,17.806,1762.75,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,190мм.,скидка,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,0.08
6.61,1190.749,117884.20,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,190мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,5.35
6.59,12.000,792.00,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,18мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
8.74,1708.175,333094.18,195000,195000,195000,НОВОСИБИРСК,Круг Ст40ХН2МА,240мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.81
3.22,1633.598,287513.25,176000,176000,176000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,240мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.6
3.23,1633.598,318551.61,195000,195000,195000,НОВОСИБИРСК,Круг Ст40ХН2МА,240мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.6
0.08,38.049,3234.16,85000,85000,85000,НОВОСИБИРСК,Круг Ст40ХН,240 мм,скидка,А_,Круг_,0.11
0.90,516.966,80129.67,155000,155000,155000,ЧЕЛЯБИНСК,Круг Ст40ХН,240мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,1.46
3.41,1667.238,283430.46,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН,240мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.82
6.67,1670.697,258958.03,155000,155000,155000,ЧЕЛЯБИНСК,Круг Ст40ХН,240мм,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,4.83
4.50,21.300,1405.80,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,24мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
3.48,14.304,1370.32,95800,95800,95800,НОВОСИБИРСК,Круг Ст18ХГТ,24 мм.,,"ГОСТ 2590,4543-71",Круг_,4.8
13.50,21.300,1491.00,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,24 мм.,,"ГОСТ 2590-06, 19281-14,2ГП_",Круг_,6
10.55,1704.624,189213.26,111000,111000,111000,НОВОСИБИРСК,Круг Ст45,240мм,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,4.8
27.95,1704.624,189213.26,111000,111000,111000,НОВОСИБИРСК,Круг Ст45,240мм.,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,4.8
06.08,1708.175,300638.85,176000,176000,176000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,240мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.81
3.44,1667.238,433481.88,260000,260000,260000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,240 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.82
0.30,301.860,25960.00,86000,86000,86000,НОВОСИБИРСК,Круг Ст20Х,240мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,0.85
4.36,1186.134,102007.54,86000,86000,86000,НОВОСИБИРСК,Круг Ст20Х,240мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.34
11.05,1708.175,189607.46,111000,111000,111000,НОВОСИБИРСК,Круг Ст20,240мм.,,"ГОСТ 2590-06,1050-13 3ГП_",Круг_,4.81
2.56,1711.727,190001.65,111000,111000,111000,НОВОСИБИРСК,Круг Ст20,240мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,4.82
6.69,1632.752,207359.45,127000,127000,127000,НОВОСИБИРСК,Круг Ст18ХГТ,240 мм.,,"ГОСТ 2590,4543-16, 3ГП_",Круг_,4.6
0.03,31.962,3164.21,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,240мм.,скидка,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,0.09
11.20,1704.624,168757.78,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,240мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,4.8
9.55,1402.445,155671.39,111000,111000,111000,НОВОСИБИРСК,Круг Ст45,230мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,4.3
44.79,1402.445,155671.39,111000,111000,111000,НОВОСИБИРСК,Круг Ст45,230мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,4.3
9.72,1096.503,186405.51,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН,240мм,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,3.17
41.12,1811.163,208283.74,115000,115000,115000,НОВОСИБИРСК,Круг Ст40Х,240мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.1
24.30,1704.624,196031.76,115000,115000,115000,НОВОСИБИРСК,Круг Ст40Х,240мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.8
5.50,1718.829,190790.04,111000,111000,111000,НОВОСИБИРСК,Круг Ст35,240мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,4.84
10.31,1708.175,216938.26,127000,127000,127000,НОВОСИБИРСК,Круг Ст30ХГСА,240 мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.81
5.74,1704.624,216487.25,127000,127000,127000,НОВОСИБИРСК,Круг Ст30ХГСА,240 мм.,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,4.8
0.03,28.410,1576.78,55500,55500,55500,НОВОСИБИРСК,Круг Ст3,240мм,скидка,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,0.08
6.24,1715.278,190395.85,111000,111000,111000,НОВОСИБИРСК,Круг Ст3,240мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,4.83
4.39,1277.820,104781.24,82000,82000,82000,НОВОСИБИРСК,Круг Ст25ХГТ,240 мм.,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,3.6
0.78,780.890,64032.98,82000,82000,82000,НОВОСИБИРСК,Круг Ст25ХГТ,240 мм.,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,2.2
2.79,1594.599,414595.74,260000,260000,260000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,240 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.61
10.46,1710.910,290854.63,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН,250мм,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,4.44
36.64,1707.056,196311.46,115000,115000,115000,НОВОСИБИРСК,Круг Ст40Х,250мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.43
30.52,1714.763,197197.74,115000,115000,115000,НОВОСИБИРСК,Круг Ст40Х,250мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.45
20.56,1695.496,188200.06,111000,111000,111000,НОВОСИБИРСК,Круг Ст35,250мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,4.4
12.20,1695.496,188200.06,111000,111000,111000,НОВОСИБИРСК,Круг Ст35,250мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,4.4
23.01,1707.056,216796.14,127000,127000,127000,НОВОСИБИРСК,Круг Ст30ХГСА,250 мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,4.43
6.63,1707.056,189483.24,111000,111000,111000,НОВОСИБИРСК,Круг Ст3,250мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,4.43
1.22,1228.597,172003.52,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,250мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.19
2.40,1217.042,170385.94,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,250мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3.16
4.97,1651.452,412863.00,250000,250000,250000,НОВОСИБИРСК,Круг Ст20хн3а,250 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.4
52.49,1710.892,189908.99,111000,111000,111000,НОВОСИБИРСК,Круг Ст45,250мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,4.44
3.58,1125.164,198028.85,176000,176000,176000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,250мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,2.99
3.67,1655.760,322873.12,195000,195000,195000,НОВОСИБИРСК,Круг Ст40ХН2МА,250мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.4
3.12,1603.076,312599.88,195000,195000,195000,НОВОСИБИРСК,Круг Ст40ХН2МА,250мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.26
5.57,1696.648,262980.49,155000,155000,155000,ЧЕЛЯБИНСК,Круг Ст40ХН,250мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,4.44
11.20,1703.203,263996.43,155000,155000,155000,ЧЕЛЯБИНСК,Круг Ст40ХН,250мм,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,4.42
12.20,1734.012,171667.19,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,250мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,4.5
21.93,21.300,1405.80,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,24мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
3.52,20.803,3016.38,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,24мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.85
1.50,15.870,1983.75,125000,125000,125000,ЧЕЛЯБИНСК,Круг Ст40ХН,24мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.6
13.14,17.940,2511.60,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,24мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.2
16.14,21.477,1503.42,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,24мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,06.05
0.54,21.300,1405.80,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,24мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
0.07,17.395,1687.31,97000,97000,97000,НОВОСИБИРСК,Круг Ст30ХГСА,24мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.9
4.33,21.300,2066.10,97000,97000,97000,НОВОСИБИРСК,Круг Ст30ХГСА,24мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
15.66,21.477,1417.51,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,24мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,06.05
2.35,1651.452,412863.00,250000,250000,250000,НОВОСИБИРСК,Круг Ст20хн3а,250 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.4
4.98,1632.999,424579.64,260000,260000,260000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,250 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.26
6.79,1673.200,435032.00,260000,260000,260000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,250 мм,,"ГОСТ 2590-06, 4543- 16,2ГП_",Круг_,4.45
2.59,1017.298,87487.59,86000,86000,86000,НОВОСИБИРСК,Круг Ст20Х,250мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,2.64
11.05,1703.203,189055.51,111000,111000,111000,НОВОСИБИРСК,Круг Ст20,250мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,4.42
2.40,1229.235,156112.79,127000,127000,127000,НОВОСИБИРСК,Круг Ст18ХГТ,250 мм.,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,3.19
2.24,1714.763,217774.90,127000,127000,127000,НОВОСИБИРСК,Круг Ст18ХГТ,250 мм.,,"ГОСТ2590-06, 4543-16,3ГП_",Круг_,4.45
5.58,1167.204,148234.97,127000,127000,127000,НОВОСИБИРСК,Круг Ст18ХГТ,250 мм.,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,03.05
0.19,192.670,24469.09,127000,127000,127000,НОВОСИБИРСК,Круг Ст18ХГТ,250 мм.,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,0.5
2.58,1703.203,425800.70,250000,250000,250000,НОВОСИБИРСК,Круг Ст12хн3а,250 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.42
1.70,1696.002,373120.40,220000,220000,220000,ЧЕЛЯБИНСК,Круг Ст12хн3а,250 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.45
0.02,23.872,3580.80,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,220мм,скидка,А_,Круг_,0.08
2.65,925.040,120255.20,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,220мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.1
6.99,1405.464,210819.60,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,220мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.71
12.02,1124.968,94497.31,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,220мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3.77
37.85,1679.992,141119.33,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,220мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.63
5.73,883.264,68011.33,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,220мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,2.96
45.01,895.200,68930.40,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,220мм.,,"ГОСТ 2590-16, 1050-13, 3ГП_",Круг_,3
0.19,193.960,19551.17,100800,100800,100800,НОВОСИБИРСК,Круг Ст30ХГСА,220 мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,0.65
25.40,1790.400,137860.80,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,220мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
47.80,895.200,68930.40,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,220мм.,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,3
4.79,892.295,142767.28,160000,160000,160000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,220мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,03.07
2.95,994.757,169108.77,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,220мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,03.05
1.88,916.088,119091.44,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,220мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,03.07
2.65,1342.800,201420.00,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,220мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.5
4.59,1205.536,92826.27,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,220мм,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,04.04
5.15,939.960,93996.00,100000,100000,100000,НОВОСИБИРСК,Круг Ст18ХГТ,220 мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.15
0.10,152.184,15218.40,100000,100000,100000,НОВОСИБИРСК,Круг Ст18ХГТ,220 мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,0.51
2.67,1313.742,315298.20,240000,240000,240000,НОВОСИБИРСК,Круг Ст12хн3а,220 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.52
11.41,865.360,85670.64,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,220мм.,,"ГОСТ 2590-16, 19281-14, 3ГП_",Круг_,2.9
27.34,897.237,69087.25,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,210мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,3.3
33.22,916.269,70552.74,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,210мм.,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,3.37
07.04,1413.828,226212.48,160000,160000,160000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,210мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.2
6.56,1420.384,143174.71,100800,100800,100800,НОВОСИБИРСК,Круг Ст30ХГСА,220 мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,4.76
13.42,999.640,76972.28,77000,77000,77000,НОВОСИБИРСК,Круг Ст3,220мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,3.35
4.81,1005.109,140715.29,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,220 мм.,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,3.37
1.96,1008.092,141132.85,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,220 мм.,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,3.38
3.96,1310.831,327707.87,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,220 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.51
2.73,1346.736,336683.90,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,220 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.51
